"Id",age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
1,48,"services","single","basic.4y","unknown","yes","yes","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1
2,37,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","thu",5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191
3,51,"blue-collar","married","basic.9y","unknown","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1
4,66,"admin.","divorced","university.degree","no","yes","no","cellular","aug","wed",3,6,2,"success",-1.7,94.027,-38.3,0.903,4991.6
5,36,"blue-collar","single","basic.4y","no","yes","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1
6,25,"admin.","single","high.school","no","yes","yes","cellular","may","fri",6,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1
7,41,"services","married","high.school","no","yes","no","telephone","may","tue",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
8,37,"technician","married","high.school","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191
9,46,"admin.","married","high.school","no","yes","no","cellular","nov","tue",3,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8
10,36,"services","single","basic.6y","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
11,34,"admin.","single","high.school","no","yes","no","telephone","may","thu",5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191
12,54,"technician","divorced","professional.course","unknown","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1
13,40,"technician","married","basic.9y","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
14,32,"technician","single","university.degree","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
15,38,"technician","married","professional.course","unknown","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
16,73,"retired","married","university.degree","no","no","yes","cellular","nov","thu",7,999,0,"nonexistent",-3.4,92.649,-30.1,0.716,5017.5
17,36,"admin.","single","unknown","no","yes","no","cellular","may","mon",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1
18,32,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.854,5076.2
19,48,"blue-collar","married","professional.course","no","no","yes","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
20,43,"admin.","married","university.degree","no","yes","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.252,5076.2
21,27,"services","married","basic.9y","no","no","no","telephone","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1
22,32,"technician","married","professional.course","no","yes","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1
23,30,"admin.","single","university.degree","no","no","no","telephone","jul","wed",3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1
24,58,"retired","married","university.degree","no","yes","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1
25,54,"blue-collar","married","basic.9y","no","yes","yes","cellular","nov","wed",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.719,5017.5
26,35,"technician","single","university.degree","no","yes","no","cellular","aug","fri",13,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1
27,39,"entrepreneur","married","university.degree","unknown","yes","no","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.244,5099.1
28,66,"housemaid","married","high.school","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.259,5099.1
29,33,"technician","married","professional.course","unknown","no","no","cellular","may","wed",3,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1
30,40,"technician","married","professional.course","no","yes","yes","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1
31,33,"unemployed","married","university.degree","no","yes","no","telephone","jul","fri",1,999,0,"nonexistent",-1.7,94.215,-40.3,0.822,4991.6
32,32,"technician","single","professional.course","no","no","no","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1
33,68,"retired","divorced","high.school","no","yes","no","cellular","oct","mon",4,999,2,"failure",-1.1,94.601,-49.5,1,4963.6
34,37,"blue-collar","single","basic.9y","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191
35,53,"management","divorced","university.degree","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8
36,28,"admin.","married","university.degree","no","unknown","unknown","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191
37,32,"admin.","married","high.school","no","yes","no","telephone","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1
38,36,"admin.","married","basic.9y","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191
39,32,"admin.","married","high.school","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191
40,42,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1
41,55,"admin.","married","high.school","no","yes","no","cellular","jun","mon",5,999,1,"failure",-2.9,92.963,-40.8,1.215,5076.2
42,39,"technician","single","professional.course","unknown","no","no","cellular","aug","thu",4,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1
43,30,"services","married","high.school","no","yes","yes","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1
44,39,"technician","married","professional.course","no","yes","no","cellular","jul","thu",5,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1
45,40,"admin.","single","university.degree","unknown","no","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1
46,44,"technician","married","professional.course","no","yes","no","cellular","may","mon",3,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1
47,30,"services","married","professional.course","no","no","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8
48,48,"entrepreneur","married","university.degree","no","yes","no","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1
49,32,"technician","single","professional.course","no","yes","no","cellular","nov","fri",5,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8
50,34,"admin.","single","university.degree","no","no","no","cellular","aug","tue",5,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1
51,27,"blue-collar","single","basic.4y","no","yes","no","telephone","may","wed",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1
52,43,"services","married","high.school","no","yes","no","cellular","may","tue",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1
