29, Local-government, 122000, Some-college, 10, Never-married, Sales, Not-in-family, White, F, 0, 0, 60, United-States, 0
55, Private, 171328, Some-college, 10, Married-spouse-absent, Adm-clerical, Unmarried, Black, M, 0, 0, 35, United-States, 0
35, Local-government, 112271, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 45, United-States, 0
32, Local-government, 549430, Masters, 9, Never-married, Priv-house-serv, Unmarried, White, M, 0, 0, 40, Mexico, 0
37, Local-government, 186191, Masters, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, F, 0, 0, 46, United-States, 0
36, Local-government, 230329, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 50, United-States, 1
32, Local-government, 90705, Masters, 9, Married-civ-spouse, Transport-moving, Husband, White, F, 0, 0, 60, United-States, 1
54, Local-government, 43269, Masters, 9, Married-civ-spouse, Transport-moving, Husband, White, F, 0, 0, 50, United-States, 1
75, Local-government, 314209, Assoc-voc, 11, Widowed, Adm-clerical, Not-in-family, White, M, 0, 0, 20, Columbia, 0
76, Local-government, 116202, Masters, 9, Widowed, Other-service, Unmarried, White, M, 0, 0, 33, United-States, 0
49, Local-government, 179869, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 40, United-States, 1
32, Local-government, 116365, Masters, 9, Married-civ-spouse, Adm-clerical, Wife, White, M, 0, 0, 20, United-States, 0
20, ?, 238685, 11th, 7, Divorced, ?, Not-in-family, White, M, 0, 0, 40, United-States, 0
27, Local-government, 197380, Assoc-acdm, 12, Never-married, Prof-specialty, Not-in-family, White, F, 0, 0, 40, United-States, 0
51, Local-government, 259323, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, F, 0, 0, 50, United-States, 1
29, Local-government, 201022, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, M, 0, 0, 50, United-States, 1
19, Local-government, 327397, Masters, 9, Never-married, Prof-specialty, Own-child, White, F, 0, 0, 30, United-States, 0
20, Local-government, 71475, Some-college, 10, Never-married, Adm-clerical, Own-child, White, M, 0, 0, 40, United-States, 0
38, Local-government, 278253, Masters, 9, Divorced, Adm-clerical, Unmarried, White, M, 0, 0, 48, United-States, 0
29, Local-government, 246933, Masters, 9, Never-married, Adm-clerical, Other-relative, White, F, 0, 0, 40, Mexico, 0
68, Local-government, 195868, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, F, 20051, 0, 40, United-States, 1
31, Self-emp-not-inc, 108468, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 60, United-States, 1
26, Local-government, 272669, Bachelors, 13, Never-married, Sales, Not-in-family, Asian-Pac-Islander, F, 0, 0, 20, South, 0
49, Private, 321851, Assoc-acdm, 12, Divorced, Adm-clerical, Not-in-family, White, M, 0, 0, 30, United-States, 0
49, Federal-gov, 229376, Masters, 9, Married-civ-spouse, Adm-clerical, Husband, White, F, 0, 0, 40, United-States, 1
38, Local-government, 446654, 9th, 5, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, F, 0, 0, 40, Mexico, 0
42, ?, 212206, Masters, 14, Married-civ-spouse, ?, Wife, White, M, 0, 1887, 48, United-States, 1
39, Local-government, 388023, Masters, 9, Divorced, Exec-managerial, Not-in-family, White, M, 0, 0, 38, United-States, 0
36, Local-government, 162164, Masters, 9, Married-civ-spouse, Craft-repair, Husband, White, F, 0, 0, 44, United-States, 0
50, Self-emp-not-inc, 231196, Bachelors, 13, Divorced, Sales, Not-in-family, White, F, 0, 0, 50, United-States, 0
51, Private, 116286, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, F, 0, 0, 60, United-States, 1
21, State-gov, 48121, Some-college, 10, Never-married, Exec-managerial, Own-child, White, F, 0, 1602, 10, United-States, 0
51, Self-emp-not-inc, 256963, Some-college, 10, Married-civ-spouse, Sales, Husband, White, F, 0, 0, 60, United-States, 0
35, Local-government, 280966, Some-college, 10, Married-civ-spouse, Sales, Husband, White, F, 0, 0, 40, United-States, 0
